site_code year month day hour minute second latitude longitude altitude_final type_altitude year_end month_end day_end hour_end minute_end second_end
INX02 2020 06 03 19 00 00 39.7978 -86.0183 136 0 2020 06 03 20 00 00
INX02 2020 06 04 19 00 00 39.7978 -86.0183 136 0 2020 06 04 20 00 00
INX02 2020 06 05 19 00 00 39.7978 -86.0183 136 0 2020 06 05 20 00 00
INX02 2020 06 06 19 00 00 39.7978 -86.0183 136 0 2020 06 06 20 00 00
INX02 2020 06 07 19 00 00 39.7978 -86.0183 136 0 2020 06 07 20 00 00
INX02 2020 06 08 19 00 00 39.7978 -86.0183 136 0 2020 06 08 20 00 00
INX02 2020 06 09 19 00 00 39.7978 -86.0183 136 0 2020 06 09 20 00 00
INX02 2020 06 10 19 00 00 39.7978 -86.0183 136 0 2020 06 10 20 00 00
INX02 2020 06 11 19 00 00 39.7978 -86.0183 136 0 2020 06 11 20 00 00
INX02 2020 06 12 19 00 00 39.7978 -86.0183 136 0 2020 06 12 20 00 00
INX02 2020 06 13 19 00 00 39.7978 -86.0183 136 0 2020 06 13 20 00 00
INX02 2020 06 14 19 00 00 39.7978 -86.0183 136 0 2020 06 14 20 00 00
INX02 2020 06 15 19 00 00 39.7978 -86.0183 136 0 2020 06 15 20 00 00
INX02 2020 06 16 19 00 00 39.7978 -86.0183 136 0 2020 06 16 20 00 00
INX02 2020 06 17 19 00 00 39.7978 -86.0183 136 0 2020 06 17 20 00 00
INX02 2020 06 18 19 00 00 39.7978 -86.0183 136 0 2020 06 18 20 00 00
INX02 2020 06 19 19 00 00 39.7978 -86.0183 136 0 2020 06 19 20 00 00
INX02 2020 06 20 19 00 00 39.7978 -86.0183 136 0 2020 06 20 20 00 00
INX02 2020 06 21 19 00 00 39.7978 -86.0183 136 0 2020 06 21 20 00 00
INX02 2020 06 22 19 00 00 39.7978 -86.0183 136 0 2020 06 22 20 00 00
INX02 2020 06 23 19 00 00 39.7978 -86.0183 136 0 2020 06 23 20 00 00
INX02 2020 06 24 19 00 00 39.7978 -86.0183 136 0 2020 06 24 20 00 00
INX02 2020 06 25 19 00 00 39.7978 -86.0183 136 0 2020 06 25 20 00 00
INX02 2020 06 26 19 00 00 39.7978 -86.0183 136 0 2020 06 26 20 00 00
INX02 2020 06 27 19 00 00 39.7978 -86.0183 136 0 2020 06 27 20 00 00
INX02 2020 06 28 19 00 00 39.7978 -86.0183 136 0 2020 06 28 20 00 00
INX02 2020 06 29 19 00 00 39.7978 -86.0183 136 0 2020 06 29 20 00 00
INX02 2020 06 30 19 00 00 39.7978 -86.0183 136 0 2020 06 30 20 00 00
INX02 2020 07 01 19 00 00 39.7978 -86.0183 136 0 2020 07 01 20 00 00
INX02 2020 07 02 19 00 00 39.7978 -86.0183 136 0 2020 07 02 20 00 00
INX02 2020 07 03 19 00 00 39.7978 -86.0183 136 0 2020 07 03 20 00 00
INX02 2020 07 04 19 00 00 39.7978 -86.0183 136 0 2020 07 04 20 00 00
INX02 2020 07 05 19 00 00 39.7978 -86.0183 136 0 2020 07 05 20 00 00
INX02 2020 07 06 19 00 00 39.7978 -86.0183 136 0 2020 07 06 20 00 00
INX02 2020 07 07 19 00 00 39.7978 -86.0183 136 0 2020 07 07 20 00 00
INX02 2020 07 08 19 00 00 39.7978 -86.0183 136 0 2020 07 08 20 00 00
INX02 2020 07 09 19 00 00 39.7978 -86.0183 136 0 2020 07 09 20 00 00
INX02 2020 07 10 19 00 00 39.7978 -86.0183 136 0 2020 07 10 20 00 00
INX02 2020 07 11 19 00 00 39.7978 -86.0183 136 0 2020 07 11 20 00 00
INX02 2020 07 12 19 00 00 39.7978 -86.0183 136 0 2020 07 12 20 00 00
INX02 2020 07 13 19 00 00 39.7978 -86.0183 136 0 2020 07 13 20 00 00
INX02 2020 07 14 19 00 00 39.7978 -86.0183 136 0 2020 07 14 20 00 00
INX02 2020 07 15 19 00 00 39.7978 -86.0183 136 0 2020 07 15 20 00 00
INX02 2020 07 16 19 00 00 39.7978 -86.0183 136 0 2020 07 16 20 00 00
INX02 2020 07 17 19 00 00 39.7978 -86.0183 136 0 2020 07 17 20 00 00
INX02 2020 07 18 19 00 00 39.7978 -86.0183 136 0 2020 07 18 20 00 00
INX02 2020 07 19 19 00 00 39.7978 -86.0183 136 0 2020 07 19 20 00 00
INX02 2020 07 20 19 00 00 39.7978 -86.0183 136 0 2020 07 20 20 00 00
INX02 2020 07 21 19 00 00 39.7978 -86.0183 136 0 2020 07 21 20 00 00
INX02 2020 07 22 19 00 00 39.7978 -86.0183 136 0 2020 07 22 20 00 00
INX02 2020 07 23 19 00 00 39.7978 -86.0183 136 0 2020 07 23 20 00 00
INX02 2020 07 24 19 00 00 39.7978 -86.0183 136 0 2020 07 24 20 00 00
INX02 2020 07 25 19 00 00 39.7978 -86.0183 136 0 2020 07 25 20 00 00
INX02 2020 07 26 19 00 00 39.7978 -86.0183 136 0 2020 07 26 20 00 00
INX02 2020 07 27 19 00 00 39.7978 -86.0183 136 0 2020 07 27 20 00 00
INX02 2020 07 28 19 00 00 39.7978 -86.0183 136 0 2020 07 28 20 00 00
INX02 2020 07 29 19 00 00 39.7978 -86.0183 136 0 2020 07 29 20 00 00
INX02 2020 07 30 19 00 00 39.7978 -86.0183 136 0 2020 07 30 20 00 00
INX02 2020 07 31 19 00 00 39.7978 -86.0183 136 0 2020 07 31 20 00 00
INX02 2020 08 01 19 00 00 39.7978 -86.0183 136 0 2020 08 01 20 00 00
INX02 2020 08 02 19 00 00 39.7978 -86.0183 136 0 2020 08 02 20 00 00
INX02 2020 08 03 19 00 00 39.7978 -86.0183 136 0 2020 08 03 20 00 00
INX02 2020 08 04 19 00 00 39.7978 -86.0183 136 0 2020 08 04 20 00 00
INX02 2020 08 05 19 00 00 39.7978 -86.0183 136 0 2020 08 05 20 00 00
INX02 2020 08 06 19 00 00 39.7978 -86.0183 136 0 2020 08 06 20 00 00
INX02 2020 08 07 19 00 00 39.7978 -86.0183 136 0 2020 08 07 20 00 00
INX02 2020 08 08 19 00 00 39.7978 -86.0183 136 0 2020 08 08 20 00 00
INX02 2020 08 09 19 00 00 39.7978 -86.0183 136 0 2020 08 09 20 00 00
INX02 2020 08 10 19 00 00 39.7978 -86.0183 136 0 2020 08 10 20 00 00
INX02 2020 08 11 19 00 00 39.7978 -86.0183 136 0 2020 08 11 20 00 00
INX02 2020 08 12 19 00 00 39.7978 -86.0183 136 0 2020 08 12 20 00 00
INX02 2020 08 13 19 00 00 39.7978 -86.0183 136 0 2020 08 13 20 00 00
INX02 2020 08 14 19 00 00 39.7978 -86.0183 136 0 2020 08 14 20 00 00
INX02 2020 08 15 19 00 00 39.7978 -86.0183 136 0 2020 08 15 20 00 00
INX02 2020 08 16 19 00 00 39.7978 -86.0183 136 0 2020 08 16 20 00 00
INX02 2020 08 17 19 00 00 39.7978 -86.0183 136 0 2020 08 17 20 00 00
INX02 2020 08 18 19 00 00 39.7978 -86.0183 136 0 2020 08 18 20 00 00
INX02 2020 08 19 19 00 00 39.7978 -86.0183 136 0 2020 08 19 20 00 00
INX02 2020 08 20 19 00 00 39.7978 -86.0183 136 0 2020 08 20 20 00 00
INX02 2020 08 21 19 00 00 39.7978 -86.0183 136 0 2020 08 21 20 00 00
INX02 2020 08 22 19 00 00 39.7978 -86.0183 136 0 2020 08 22 20 00 00
INX02 2020 08 23 19 00 00 39.7978 -86.0183 136 0 2020 08 23 20 00 00
INX02 2020 08 24 19 00 00 39.7978 -86.0183 136 0 2020 08 24 20 00 00
INX02 2020 08 25 19 00 00 39.7978 -86.0183 136 0 2020 08 25 20 00 00
INX02 2020 08 26 19 00 00 39.7978 -86.0183 136 0 2020 08 26 20 00 00
INX02 2020 08 27 19 00 00 39.7978 -86.0183 136 0 2020 08 27 20 00 00
INX02 2020 08 28 19 00 00 39.7978 -86.0183 136 0 2020 08 28 20 00 00
INX02 2020 08 29 19 00 00 39.7978 -86.0183 136 0 2020 08 29 20 00 00
INX02 2020 08 30 19 00 00 39.7978 -86.0183 136 0 2020 08 30 20 00 00
INX02 2020 08 31 19 00 00 39.7978 -86.0183 136 0 2020 08 31 20 00 00
INX02 2020 09 01 19 00 00 39.7978 -86.0183 136 0 2020 09 01 20 00 00
INX02 2020 09 02 19 00 00 39.7978 -86.0183 136 0 2020 09 02 20 00 00
INX02 2020 09 03 19 00 00 39.7978 -86.0183 136 0 2020 09 03 20 00 00
INX02 2020 09 04 19 00 00 39.7978 -86.0183 136 0 2020 09 04 20 00 00
INX02 2020 09 05 19 00 00 39.7978 -86.0183 136 0 2020 09 05 20 00 00
INX02 2020 09 06 19 00 00 39.7978 -86.0183 136 0 2020 09 06 20 00 00
INX02 2020 09 07 19 00 00 39.7978 -86.0183 136 0 2020 09 07 20 00 00
INX02 2020 09 08 19 00 00 39.7978 -86.0183 136 0 2020 09 08 20 00 00
INX02 2020 09 09 19 00 00 39.7978 -86.0183 136 0 2020 09 09 20 00 00
INX02 2020 09 10 19 00 00 39.7978 -86.0183 136 0 2020 09 10 20 00 00
INX02 2020 09 11 19 00 00 39.7978 -86.0183 136 0 2020 09 11 20 00 00
INX02 2020 09 12 19 00 00 39.7978 -86.0183 136 0 2020 09 12 20 00 00
INX02 2020 09 13 19 00 00 39.7978 -86.0183 136 0 2020 09 13 20 00 00
INX02 2020 09 14 19 00 00 39.7978 -86.0183 136 0 2020 09 14 20 00 00
INX02 2020 09 15 19 00 00 39.7978 -86.0183 136 0 2020 09 15 20 00 00
INX02 2020 09 16 19 00 00 39.7978 -86.0183 136 0 2020 09 16 20 00 00
INX02 2020 09 17 19 00 00 39.7978 -86.0183 136 0 2020 09 17 20 00 00
INX02 2020 09 18 19 00 00 39.7978 -86.0183 136 0 2020 09 18 20 00 00
INX02 2020 09 19 19 00 00 39.7978 -86.0183 136 0 2020 09 19 20 00 00
INX02 2020 09 20 19 00 00 39.7978 -86.0183 136 0 2020 09 20 20 00 00
INX02 2020 09 21 19 00 00 39.7978 -86.0183 136 0 2020 09 21 20 00 00
INX02 2020 09 22 19 00 00 39.7978 -86.0183 136 0 2020 09 22 20 00 00
INX02 2020 09 23 19 00 00 39.7978 -86.0183 136 0 2020 09 23 20 00 00
INX02 2020 09 24 19 00 00 39.7978 -86.0183 136 0 2020 09 24 20 00 00
INX02 2020 09 25 19 00 00 39.7978 -86.0183 136 0 2020 09 25 20 00 00
INX02 2020 09 26 19 00 00 39.7978 -86.0183 136 0 2020 09 26 20 00 00
INX02 2020 09 27 19 00 00 39.7978 -86.0183 136 0 2020 09 27 20 00 00
INX02 2020 09 28 19 00 00 39.7978 -86.0183 136 0 2020 09 28 20 00 00
INX02 2020 09 29 19 00 00 39.7978 -86.0183 136 0 2020 09 29 20 00 00
INX02 2020 09 30 19 00 00 39.7978 -86.0183 136 0 2020 09 30 20 00 00
INX02 2020 10 01 19 00 00 39.7978 -86.0183 136 0 2020 10 01 20 00 00
INX02 2020 10 02 19 00 00 39.7978 -86.0183 136 0 2020 10 02 20 00 00
INX02 2020 10 03 19 00 00 39.7978 -86.0183 136 0 2020 10 03 20 00 00
INX02 2020 10 04 19 00 00 39.7978 -86.0183 136 0 2020 10 04 20 00 00
INX02 2020 10 05 19 00 00 39.7978 -86.0183 136 0 2020 10 05 20 00 00
INX02 2020 10 06 19 00 00 39.7978 -86.0183 136 0 2020 10 06 20 00 00
INX02 2020 10 07 19 00 00 39.7978 -86.0183 136 0 2020 10 07 20 00 00
INX02 2020 10 08 19 00 00 39.7978 -86.0183 136 0 2020 10 08 20 00 00
INX02 2020 10 09 19 00 00 39.7978 -86.0183 136 0 2020 10 09 20 00 00
INX02 2020 10 10 19 00 00 39.7978 -86.0183 136 0 2020 10 10 20 00 00
INX02 2020 10 11 19 00 00 39.7978 -86.0183 136 0 2020 10 11 20 00 00
INX02 2020 10 12 19 00 00 39.7978 -86.0183 136 0 2020 10 12 20 00 00
INX02 2020 10 13 19 00 00 39.7978 -86.0183 136 0 2020 10 13 20 00 00
INX02 2020 10 14 19 00 00 39.7978 -86.0183 136 0 2020 10 14 20 00 00
INX02 2020 10 15 19 00 00 39.7978 -86.0183 136 0 2020 10 15 20 00 00
INX02 2020 10 16 19 00 00 39.7978 -86.0183 136 0 2020 10 16 20 00 00
INX02 2020 10 17 19 00 00 39.7978 -86.0183 136 0 2020 10 17 20 00 00
INX02 2020 10 18 19 00 00 39.7978 -86.0183 136 0 2020 10 18 20 00 00
INX02 2020 10 19 19 00 00 39.7978 -86.0183 136 0 2020 10 19 20 00 00
INX02 2020 10 20 19 00 00 39.7978 -86.0183 136 0 2020 10 20 20 00 00
INX02 2020 10 21 19 00 00 39.7978 -86.0183 136 0 2020 10 21 20 00 00
INX02 2020 10 22 19 00 00 39.7978 -86.0183 136 0 2020 10 22 20 00 00
INX02 2020 10 23 19 00 00 39.7978 -86.0183 136 0 2020 10 23 20 00 00
INX02 2020 10 24 19 00 00 39.7978 -86.0183 136 0 2020 10 24 20 00 00
INX02 2020 10 25 19 00 00 39.7978 -86.0183 136 0 2020 10 25 20 00 00
INX02 2020 10 26 19 00 00 39.7978 -86.0183 136 0 2020 10 26 20 00 00
INX02 2020 10 27 19 00 00 39.7978 -86.0183 136 0 2020 10 27 20 00 00
INX02 2020 10 28 19 00 00 39.7978 -86.0183 136 0 2020 10 28 20 00 00
INX02 2020 10 29 19 00 00 39.7978 -86.0183 136 0 2020 10 29 20 00 00
INX02 2020 10 30 19 00 00 39.7978 -86.0183 136 0 2020 10 30 20 00 00
INX02 2020 10 31 19 00 00 39.7978 -86.0183 136 0 2020 10 31 20 00 00
INX02 2020 11 01 19 00 00 39.7978 -86.0183 136 0 2020 11 01 20 00 00
INX02 2020 11 02 19 00 00 39.7978 -86.0183 136 0 2020 11 02 20 00 00
INX02 2020 11 03 19 00 00 39.7978 -86.0183 136 0 2020 11 03 20 00 00
INX02 2020 11 04 19 00 00 39.7978 -86.0183 136 0 2020 11 04 20 00 00
INX02 2020 11 05 19 00 00 39.7978 -86.0183 136 0 2020 11 05 20 00 00
INX02 2020 11 06 19 00 00 39.7978 -86.0183 136 0 2020 11 06 20 00 00
INX02 2020 11 07 19 00 00 39.7978 -86.0183 136 0 2020 11 07 20 00 00
INX02 2020 11 08 19 00 00 39.7978 -86.0183 136 0 2020 11 08 20 00 00
INX02 2020 11 09 19 00 00 39.7978 -86.0183 136 0 2020 11 09 20 00 00
INX02 2020 11 10 19 00 00 39.7978 -86.0183 136 0 2020 11 10 20 00 00
INX02 2020 11 11 19 00 00 39.7978 -86.0183 136 0 2020 11 11 20 00 00
INX02 2020 11 12 19 00 00 39.7978 -86.0183 136 0 2020 11 12 20 00 00
INX02 2020 11 13 19 00 00 39.7978 -86.0183 136 0 2020 11 13 20 00 00
INX02 2020 11 14 19 00 00 39.7978 -86.0183 136 0 2020 11 14 20 00 00
INX02 2020 11 15 19 00 00 39.7978 -86.0183 136 0 2020 11 15 20 00 00
INX02 2020 11 16 19 00 00 39.7978 -86.0183 136 0 2020 11 16 20 00 00
INX02 2020 11 17 19 00 00 39.7978 -86.0183 136 0 2020 11 17 20 00 00
INX02 2020 11 18 19 00 00 39.7978 -86.0183 136 0 2020 11 18 20 00 00
INX02 2020 11 19 19 00 00 39.7978 -86.0183 136 0 2020 11 19 20 00 00
INX02 2020 11 20 19 00 00 39.7978 -86.0183 136 0 2020 11 20 20 00 00
INX02 2020 11 21 19 00 00 39.7978 -86.0183 136 0 2020 11 21 20 00 00
INX02 2020 11 22 19 00 00 39.7978 -86.0183 136 0 2020 11 22 20 00 00
INX02 2020 11 23 19 00 00 39.7978 -86.0183 136 0 2020 11 23 20 00 00
INX02 2020 11 24 19 00 00 39.7978 -86.0183 136 0 2020 11 24 20 00 00
INX02 2020 11 25 19 00 00 39.7978 -86.0183 136 0 2020 11 25 20 00 00
INX02 2020 11 26 19 00 00 39.7978 -86.0183 136 0 2020 11 26 20 00 00
INX02 2020 11 27 19 00 00 39.7978 -86.0183 136 0 2020 11 27 20 00 00
INX02 2020 11 28 19 00 00 39.7978 -86.0183 136 0 2020 11 28 20 00 00
INX02 2020 11 29 19 00 00 39.7978 -86.0183 136 0 2020 11 29 20 00 00
INX02 2020 11 30 19 00 00 39.7978 -86.0183 136 0 2020 11 30 20 00 00
INX02 2020 12 01 19 00 00 39.7978 -86.0183 136 0 2020 12 01 20 00 00
INX02 2020 12 02 19 00 00 39.7978 -86.0183 136 0 2020 12 02 20 00 00
INX02 2020 12 03 19 00 00 39.7978 -86.0183 136 0 2020 12 03 20 00 00
INX02 2020 12 04 19 00 00 39.7978 -86.0183 136 0 2020 12 04 20 00 00
INX02 2020 12 05 19 00 00 39.7978 -86.0183 136 0 2020 12 05 20 00 00
INX02 2020 12 06 19 00 00 39.7978 -86.0183 136 0 2020 12 06 20 00 00
INX02 2020 12 07 19 00 00 39.7978 -86.0183 136 0 2020 12 07 20 00 00
INX02 2020 12 08 19 00 00 39.7978 -86.0183 136 0 2020 12 08 20 00 00
INX02 2020 12 09 19 00 00 39.7978 -86.0183 136 0 2020 12 09 20 00 00
INX02 2020 12 10 19 00 00 39.7978 -86.0183 136 0 2020 12 10 20 00 00
INX02 2020 12 11 19 00 00 39.7978 -86.0183 136 0 2020 12 11 20 00 00
INX02 2020 12 12 19 00 00 39.7978 -86.0183 136 0 2020 12 12 20 00 00
INX02 2020 12 13 19 00 00 39.7978 -86.0183 136 0 2020 12 13 20 00 00
INX02 2020 12 14 19 00 00 39.7978 -86.0183 136 0 2020 12 14 20 00 00
INX02 2020 12 15 19 00 00 39.7978 -86.0183 136 0 2020 12 15 20 00 00
INX02 2020 12 16 19 00 00 39.7978 -86.0183 136 0 2020 12 16 20 00 00
INX02 2020 12 17 19 00 00 39.7978 -86.0183 136 0 2020 12 17 20 00 00
INX02 2020 12 18 19 00 00 39.7978 -86.0183 136 0 2020 12 18 20 00 00
INX02 2020 12 19 19 00 00 39.7978 -86.0183 136 0 2020 12 19 20 00 00
INX02 2020 12 20 19 00 00 39.7978 -86.0183 136 0 2020 12 20 20 00 00
INX02 2020 12 21 19 00 00 39.7978 -86.0183 136 0 2020 12 21 20 00 00
INX02 2020 12 22 19 00 00 39.7978 -86.0183 136 0 2020 12 22 20 00 00
INX02 2020 12 23 19 00 00 39.7978 -86.0183 136 0 2020 12 23 20 00 00
INX02 2020 12 24 19 00 00 39.7978 -86.0183 136 0 2020 12 24 20 00 00
INX02 2020 12 25 19 00 00 39.7978 -86.0183 136 0 2020 12 25 20 00 00
INX02 2020 12 26 19 00 00 39.7978 -86.0183 136 0 2020 12 26 20 00 00
INX02 2020 12 27 19 00 00 39.7978 -86.0183 136 0 2020 12 27 20 00 00
INX02 2020 12 28 19 00 00 39.7978 -86.0183 136 0 2020 12 28 20 00 00
INX02 2020 12 29 19 00 00 39.7978 -86.0183 136 0 2020 12 29 20 00 00
INX02 2020 12 30 19 00 00 39.7978 -86.0183 136 0 2020 12 30 20 00 00
INX02 2020 12 31 19 00 00 39.7978 -86.0183 136 0 2020 12 31 20 00 00
INX07 2019 12 01 19 00 00 39.7739 -86.2724 58 0 2019 12 01 20 00 00
INX07 2019 12 02 19 00 00 39.7739 -86.2724 58 0 2019 12 02 20 00 00
INX07 2019 12 03 19 00 00 39.7739 -86.2724 58 0 2019 12 03 20 00 00
INX07 2019 12 04 19 00 00 39.7739 -86.2724 58 0 2019 12 04 20 00 00
INX07 2019 12 05 19 00 00 39.7739 -86.2724 58 0 2019 12 05 20 00 00
INX07 2019 12 06 19 00 00 39.7739 -86.2724 58 0 2019 12 06 20 00 00
INX07 2019 12 07 19 00 00 39.7739 -86.2724 58 0 2019 12 07 20 00 00
INX07 2019 12 08 19 00 00 39.7739 -86.2724 58 0 2019 12 08 20 00 00
INX07 2019 12 09 19 00 00 39.7739 -86.2724 58 0 2019 12 09 20 00 00
INX07 2019 12 10 19 00 00 39.7739 -86.2724 58 0 2019 12 10 20 00 00
INX07 2019 12 11 19 00 00 39.7739 -86.2724 58 0 2019 12 11 20 00 00
INX07 2019 12 12 19 00 00 39.7739 -86.2724 58 0 2019 12 12 20 00 00
INX07 2019 12 13 19 00 00 39.7739 -86.2724 58 0 2019 12 13 20 00 00
INX07 2019 12 14 19 00 00 39.7739 -86.2724 58 0 2019 12 14 20 00 00
INX07 2019 12 15 19 00 00 39.7739 -86.2724 58 0 2019 12 15 20 00 00
INX07 2019 12 16 19 00 00 39.7739 -86.2724 58 0 2019 12 16 20 00 00
INX07 2019 12 17 19 00 00 39.7739 -86.2724 58 0 2019 12 17 20 00 00
INX07 2019 12 18 19 00 00 39.7739 -86.2724 58 0 2019 12 18 20 00 00
INX07 2020 01 06 19 00 00 39.7739 -86.2724 58 0 2020 01 06 20 00 00
INX07 2020 01 07 19 00 00 39.7739 -86.2724 58 0 2020 01 07 20 00 00
INX07 2020 01 08 19 00 00 39.7739 -86.2724 58 0 2020 01 08 20 00 00
INX07 2020 01 09 19 00 00 39.7739 -86.2724 58 0 2020 01 09 20 00 00
INX07 2020 01 10 19 00 00 39.7739 -86.2724 58 0 2020 01 10 20 00 00
INX07 2020 01 11 19 00 00 39.7739 -86.2724 58 0 2020 01 11 20 00 00
INX07 2020 01 12 19 00 00 39.7739 -86.2724 58 0 2020 01 12 20 00 00
INX07 2020 01 13 19 00 00 39.7739 -86.2724 58 0 2020 01 13 20 00 00
INX07 2020 01 14 19 00 00 39.7739 -86.2724 58 0 2020 01 14 20 00 00
INX07 2020 01 15 19 00 00 39.7739 -86.2724 58 0 2020 01 15 20 00 00
INX07 2020 01 16 19 00 00 39.7739 -86.2724 58 0 2020 01 16 20 00 00
INX07 2020 01 17 19 00 00 39.7739 -86.2724 58 0 2020 01 17 20 00 00
INX07 2020 01 18 19 00 00 39.7739 -86.2724 58 0 2020 01 18 20 00 00
INX07 2020 01 19 19 00 00 39.7739 -86.2724 58 0 2020 01 19 20 00 00
INX07 2020 01 20 19 00 00 39.7739 -86.2724 58 0 2020 01 20 20 00 00
INX07 2020 01 21 19 00 00 39.7739 -86.2724 58 0 2020 01 21 20 00 00
INX07 2020 01 22 19 00 00 39.7739 -86.2724 58 0 2020 01 22 20 00 00
INX07 2020 01 23 19 00 00 39.7739 -86.2724 58 0 2020 01 23 20 00 00
INX07 2020 01 24 19 00 00 39.7739 -86.2724 58 0 2020 01 24 20 00 00
INX07 2020 02 01 19 00 00 39.7739 -86.2724 58 0 2020 02 01 20 00 00
INX07 2020 02 02 19 00 00 39.7739 -86.2724 58 0 2020 02 02 20 00 00
INX07 2020 02 03 19 00 00 39.7739 -86.2724 58 0 2020 02 03 20 00 00
INX07 2020 02 04 19 00 00 39.7739 -86.2724 58 0 2020 02 04 20 00 00
INX07 2020 02 05 19 00 00 39.7739 -86.2724 58 0 2020 02 05 20 00 00
INX07 2020 02 06 19 00 00 39.7739 -86.2724 58 0 2020 02 06 20 00 00
INX07 2020 02 07 19 00 00 39.7739 -86.2724 58 0 2020 02 07 20 00 00
INX07 2020 02 08 19 00 00 39.7739 -86.2724 58 0 2020 02 08 20 00 00
INX07 2020 02 09 19 00 00 39.7739 -86.2724 58 0 2020 02 09 20 00 00
INX07 2020 02 10 19 00 00 39.7739 -86.2724 58 0 2020 02 10 20 00 00
INX07 2020 02 11 19 00 00 39.7739 -86.2724 58 0 2020 02 11 20 00 00
INX07 2020 02 12 19 00 00 39.7739 -86.2724 58 0 2020 02 12 20 00 00
INX07 2020 02 17 19 00 00 39.7739 -86.2724 58 0 2020 02 17 20 00 00
INX07 2020 02 18 19 00 00 39.7739 -86.2724 58 0 2020 02 18 20 00 00
INX07 2020 02 19 19 00 00 39.7739 -86.2724 58 0 2020 02 19 20 00 00
INX07 2020 02 20 19 00 00 39.7739 -86.2724 58 0 2020 02 20 20 00 00
INX07 2020 02 21 19 00 00 39.7739 -86.2724 58 0 2020 02 21 20 00 00
INX07 2020 02 22 19 00 00 39.7739 -86.2724 58 0 2020 02 22 20 00 00
INX07 2020 02 23 19 00 00 39.7739 -86.2724 58 0 2020 02 23 20 00 00
INX07 2020 02 24 19 00 00 39.7739 -86.2724 58 0 2020 02 24 20 00 00
INX07 2020 02 25 19 00 00 39.7739 -86.2724 58 0 2020 02 25 20 00 00
INX07 2020 02 26 19 00 00 39.7739 -86.2724 58 0 2020 02 26 20 00 00
INX07 2020 02 27 19 00 00 39.7739 -86.2724 58 0 2020 02 27 20 00 00
INX07 2020 02 28 19 00 00 39.7739 -86.2724 58 0 2020 02 28 20 00 00
INX07 2020 02 29 19 00 00 39.7739 -86.2724 58 0 2020 02 29 20 00 00
INX07 2020 03 01 19 00 00 39.7739 -86.2724 58 0 2020 03 01 20 00 00
INX07 2020 03 02 19 00 00 39.7739 -86.2724 58 0 2020 03 02 20 00 00
INX07 2020 03 03 19 00 00 39.7739 -86.2724 58 0 2020 03 03 20 00 00
INX07 2020 03 04 19 00 00 39.7739 -86.2724 58 0 2020 03 04 20 00 00
INX07 2020 03 05 19 00 00 39.7739 -86.2724 58 0 2020 03 05 20 00 00
INX07 2020 03 06 19 00 00 39.7739 -86.2724 58 0 2020 03 06 20 00 00
INX07 2020 03 07 19 00 00 39.7739 -86.2724 58 0 2020 03 07 20 00 00
INX07 2020 03 08 19 00 00 39.7739 -86.2724 58 0 2020 03 08 20 00 00
INX07 2020 03 09 19 00 00 39.7739 -86.2724 58 0 2020 03 09 20 00 00
INX07 2020 03 10 19 00 00 39.7739 -86.2724 58 0 2020 03 10 20 00 00
INX07 2020 03 11 19 00 00 39.7739 -86.2724 58 0 2020 03 11 20 00 00
INX07 2020 03 12 19 00 00 39.7739 -86.2724 58 0 2020 03 12 20 00 00
INX07 2020 03 13 19 00 00 39.7739 -86.2724 58 0 2020 03 13 20 00 00
INX07 2020 03 14 19 00 00 39.7739 -86.2724 58 0 2020 03 14 20 00 00
INX07 2020 03 15 19 00 00 39.7739 -86.2724 58 0 2020 03 15 20 00 00
INX07 2020 03 16 19 00 00 39.7739 -86.2724 58 0 2020 03 16 20 00 00
INX07 2020 03 17 19 00 00 39.7739 -86.2724 58 0 2020 03 17 20 00 00
INX07 2020 03 18 19 00 00 39.7739 -86.2724 58 0 2020 03 18 20 00 00
INX07 2020 03 19 19 00 00 39.7739 -86.2724 58 0 2020 03 19 20 00 00
INX07 2020 03 20 19 00 00 39.7739 -86.2724 58 0 2020 03 20 20 00 00
INX07 2020 03 21 19 00 00 39.7739 -86.2724 58 0 2020 03 21 20 00 00
INX07 2020 03 22 19 00 00 39.7739 -86.2724 58 0 2020 03 22 20 00 00
INX07 2020 03 23 19 00 00 39.7739 -86.2724 58 0 2020 03 23 20 00 00
INX07 2020 03 24 19 00 00 39.7739 -86.2724 58 0 2020 03 24 20 00 00
INX07 2020 03 25 19 00 00 39.7739 -86.2724 58 0 2020 03 25 20 00 00
INX07 2020 03 26 19 00 00 39.7739 -86.2724 58 0 2020 03 26 20 00 00
INX07 2020 03 27 19 00 00 39.7739 -86.2724 58 0 2020 03 27 20 00 00
INX07 2020 03 28 19 00 00 39.7739 -86.2724 58 0 2020 03 28 20 00 00
INX07 2020 03 29 19 00 00 39.7739 -86.2724 58 0 2020 03 29 20 00 00
INX07 2020 03 30 19 00 00 39.7739 -86.2724 58 0 2020 03 30 20 00 00
INX07 2020 03 31 19 00 00 39.7739 -86.2724 58 0 2020 03 31 20 00 00
INX07 2020 04 01 19 00 00 39.7739 -86.2724 58 0 2020 04 01 20 00 00
INX07 2020 04 02 19 00 00 39.7739 -86.2724 58 0 2020 04 02 20 00 00
INX07 2020 04 03 19 00 00 39.7739 -86.2724 58 0 2020 04 03 20 00 00
INX07 2020 04 04 19 00 00 39.7739 -86.2724 58 0 2020 04 04 20 00 00
INX07 2020 04 05 19 00 00 39.7739 -86.2724 58 0 2020 04 05 20 00 00
